des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,fullname,Potentially Hazardous,Estimated Diameter (km)
2025 FO18,2,2460761.770865068,2025-Mar-27 06:30,0.0262555423663344,0.026063823702024,0.0264472594045213,18.6747805991617,18.6693456053193,< 00:01,25.7,       (2025 FO18),No,2.5731254666525354
2025 FC4,1,2460761.832301359,2025-Mar-27 07:59,0.0287787562488327,0.0284797105670576,0.0290777930457074,11.3886731697356,11.3805407030064,< 00:01,25.79,       (2025 FC4),No,2.4686581976761737
2025 DV22,10,2460762.006013294,2025-Mar-27 12:09,0.0423529618050813,0.042329005605196,0.0423769179830224,12.2216276011972,12.2164789791584,< 00:01,23.9,       (2025 DV22),No,5.894689898067279
2025 FO6,1,2460762.071191486,2025-Mar-27 13:43,0.0054042448104835,0.0053929882339267,0.00541550109504244,12.5269124358093,12.4874923863992,< 00:01,27.47,       (2025 FO6),No,1.1388354121705717
2025 FA7,2,2460762.089690723,2025-Mar-27 14:09,0.0131300626261675,0.0130510699348665,0.0132090543508347,19.9965095435142,19.9863587122408,< 00:01,26.32,       (2025 FA7),No,1.9340200099173255
2025 FV12,1,2460762.563463891,2025-Mar-28 01:31,0.000679443723298387,0.0006788067511221,0.000680080628214015,10.8706316670512,10.5036904376293,< 00:01,30.16,       (2025 FV12),No,0.3299597478899597
2025 FP20,2,2460762.881682923,2025-Mar-28 09:10,0.020444447074099,0.0203312716826599,0.020557621510119,18.1748736609926,18.16770147925,< 00:01,25.43,       (2025 FP20),No,2.913808213087995
2025 FB8,4,2460763.113931993,2025-Mar-28 14:44,0.000793201142715182,0.0007922458977199,0.000794156085563091,5.21128425881049,4.52097217156548,< 00:01,28.48,       (2025 FB8),No,0.7152550999263364
2025 FY7,6,2460763.188072825,2025-Mar-28 16:31,0.00266997092121111,0.0026699207695087,0.00267002107290327,7.31287290926468,7.17511141218337,< 00:01,26.64,       (2025 FY7),No,1.669017779510715
2025 FG6,4,2460763.269320962,2025-Mar-28 18:28,0.00756610865110029,0.0075589501437083,0.00757326689698254,6.01421917970965,5.95537679194039,< 00:01,28.6,       (2025 FG6),No,0.676800955406703
2025 FM6,1,2460763.315299547,2025-Mar-28 19:34,0.0425397334187934,0.0423304529252359,0.0427490125772819,13.7931166907993,13.7885749045575,< 00:01,24.4,       (2025 FM6),No,4.68231862097884
2025 FR17,4,2460763.424571331,2025-Mar-28 22:11,0.0124026951500614,0.0123721825419135,0.0124332072631381,11.4557954434327,11.43702705676,< 00:01,26.33,       (2025 FR17),No,1.9251339951379607
2025 FS7,2,2460763.462980960,2025-Mar-28 23:07,0.0409354379572025,0.0406885153809094,0.0411823498864502,6.03267533621706,6.02187612946519,00:04,26.4,       (2025 FS7),No,1.864064617827838
2025 FZ1,6,2460763.680955594,2025-Mar-29 04:21,0.0164782561273968,0.0164262463450215,0.0165302647174191,9.4508679233052,9.43374321995792,< 00:01,26.85,       (2025 FZ1),No,1.515168605472233
2025 FC22,2,2460764.333910819,2025-Mar-29 20:01,0.00267771626367854,0.0026660737824331,0.00268935824249933,20.4692509458999,20.4205808196965,< 00:01,27.3,       (2025 FC22),No,1.2315752796616342
2025 FW11,3,2460764.923867940,2025-Mar-30 10:10,0.0151560805894896,0.0151027610682374,0.0152093991967448,11.9996643285225,11.9850047421733,< 00:01,25.9,       (2025 FW11),No,2.3467183166098504
2025 FR13,5,2460764.987370510,2025-Mar-30 11:42,0.00890660707583222,0.00888940996371,0.00892380403825688,16.3311340845663,16.3128055605522,< 00:01,24.19,       (2025 FR13),No,5.157758020805929
2020 VA4,17,2460765.128973160,2025-Mar-30 15:06,0.0297057845269713,0.029701756681089,0.0297098123725293,5.63564649636716,5.61970819110225,00:01,27.43,       (2020 VA4),No,1.1600079432480026
2025 FG18,5,2460765.193118538,2025-Mar-30 16:38,0.00998336730603455,0.0099654968781674,0.0100012372531899,8.37952935528225,8.34761813467355,< 00:01,27.21,       (2025 FG18),No,1.283692379601256
2025 GR,4,2460765.420442456,2025-Mar-30 22:05,0.0218495708446216,0.0217582969564113,0.0219408439204294,15.1578979793515,15.1498507614166,< 00:01,25.85,       (2025 GR),No,2.401380408243742
2025 FQ7,3,2460765.663912510,2025-Mar-31 03:56,0.019105964075799,0.0187625258313259,0.0194493863964513,14.6231490483229,14.613609140469,< 00:01,27.07,       (2025 FQ7),No,1.3691813129355384
2025 GJ1,8,2460765.878540857,2025-Mar-31 09:05,0.0278822026635092,0.0278380972092295,0.0279263068557996,4.57419858468708,4.55325912633501,< 00:01,25.79,       (2025 GJ1),No,2.4686581976761737
2025 FO20,3,2460765.931205831,2025-Mar-31 10:21,0.0241701052125158,0.024051737881747,0.0242884606283937,4.65552695479327,4.63178733994334,< 00:01,26.63,       (2025 FO20),No,1.676721615551848
2005 SL,27,2460766.101431316,2025-Mar-31 14:26,0.0368324937019647,0.0368323644348911,0.0368326229690404,9.55503080622617,9.54745687598269,< 00:01,22.4,       (2005 SL),No,11.761452612041406
2025 FS11,2,2460766.270888784,2025-Mar-31 18:30,0.046320758444963,0.0460244467172614,0.0466170673905312,12.4978148396119,12.4932113984125,00:02,25.09,       (2025 FS11),No,3.407696930755106
2025 GO1,6,2460766.311736397,2025-Mar-31 19:29,0.019566437177596,0.0194910134003012,0.0196418583897426,7.81222260437226,7.79477196593611,< 00:01,24.27,       (2025 GO1),No,4.971196877282091
2025 FZ3,6,2460766.411114115,2025-Mar-31 21:52,0.0216115702083537,0.0215477056492161,0.0216754329336144,7.13146585350357,7.11415674917326,< 00:01,26.4,       (2025 FZ3),No,1.864064617827838
